ID	Genus	Species	Family	Order	Sexe	Age	Habitat_5_classes	Habitat_code_5_classes	Habitat_3_classes	Habitat_code_3_classes	Prey_7_classes	Prey_code_7_classes	Prey_5_classes	Prey_code_5_classes	Feeding ref.	Ontogenetic shift
7390	Hemigaleus	Hemigaleus_microstoma	Hemigaleidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	cephalopoda	5	fish_&_cephalopoda	1	Cortes 1999 (cephalopods 93,8%, n=396)	
ZMA109157	Hemigaleus	Hemigaleus_microstoma	Hemigaleidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	cephalopoda	5	fish_&_cephalopoda	1	Cortes 1999 (cephalopods 93,8%, n=396)	
33994	Hemiscyllium	Hemiscyllium_strahani	Hemiscylliidae	Orectolobiformes	f	juv	reef	1	reef	1	NA	NA	NA	NA	NA	
35295a	Hemiscyllium	Hemiscyllium_trispeculare	Hemiscylliidae	Orectolobiformes	m	ad	reef	1	reef	1	invertebrates	2	Soft-bodied_benthic_invertebrates	2	Ebert et al. 2013 (probably bottom dweling invertebrates)	
35295b	Hemiscyllium	Hemiscyllium_trispeculare	Hemiscylliidae	Orectolobiformes	f	ad	reef	1	reef	1	invertebrates	2	Soft-bodied_benthic_invertebrates	2	Ebert et al. 2013 (probably bottom dweling invertebrates)	
ZMA111361	Heptranchias	Heptranchias_perlo	Hexanchidae	Hexanchiformes	f	ad	bathydemersal	4	demersal	2	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (fish 40%, cephalopods 40%, n=13); Braccini 2008 (smal: fish 68 %IRI, large: fish 78 %IRI, n=88) "	
ZMA108688	Heterodontus	Heterodontus_francisci	Heterodontidae	Heterodontiformes	f	ad	demersal	2	demersal	2	mollusca	6	decapoda_&_mollusca	3	Cortes 1999 (molluscs 71.3%, n=97)	
4202	Heterodontus	Heterodontus_japonicus	Heterodontidae	Heterodontiformes	m	ad	demersal	2	demersal	2	mollusca	6	decapoda_&_mollusca	3	Compagno 2001 (crustaceans, molluscs, small fishes, sea urchins)	
Huber H.gri	Hexanchus	Hexanchus_griseus	Hexanchidae	Hexanchiformes	NA	NA	bathydemersal	4	demersal	2	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (cephalopods 57%, fish 22.9%, n=100); Kabasakal 2004 (fish, n=9); Celona et al. 2005 (fish,n=23)"	
37689	Isistius	Isistius_brasiliensis	Dalatiidae	Squaliformes	f	ad	bathypelagic	5	pelagic	3	cephalopoda	5	fish_&_cephalopoda	1	Cortes 1999 (cephalopods 52%, fish 32%, n=68)	
ZMA111240	Isogomphodon	Isogomphodon_oxyrhynchus	Carcharhinidae	Carcharhiniformes	m	juv	demersal	2	demersal	2	fish	1	fish_&_cephalopoda	1	Compagno 1984 (fish)	
ERB 0933	Isurus	Isurus_oxyrinchus	Lamnidae	Lamniformes	f	ad	pelagic	3	pelagic	3	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 77.1%, chon 13.6%, n=7), Lopez et al. (fish 86,9 %IRI, cephalopods 12.3 %IRI, n=98)	
ERB 0934	Isurus	Isurus_oxyrinchus	Lamnidae	Lamniformes	NA	ad	pelagic	3	pelagic	3	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 77.1%, chon 13.6%, n=7), Lopez et al. (fish 86,9 %IRI, cephalopods 12.3 %IRI, n=98)	
ERB 0935	Isurus	Isurus_paucus	Lamnidae	Lamniformes	f	ad	pelagic	3	pelagic	3	generalist	3	fish_&_cephalopoda	1	Compagno 1984 (fish & cephalopods)	
ERB 0854	Lamna	Lamna_ditropis	Lamnidae	Lamniformes	f	ad	pelagic	3	pelagic	3	fish	1	fish_&_cephalopoda	1	"Compagno 1984 (fish); Hulbert et al. 2005 (fish 70,4 %N, 96 %W, n=51)"	
ERB 0937	Lamna	Lamna_ditropis	Lamnidae	Lamniformes	f	ad	pelagic	3	pelagic	3	fish	1	fish_&_cephalopoda	1	"Compagno 1984 (fish); Hulbert et al. 2005 (fish 70,4 %N, 96 %W, n=51)"	
ERB 0929	Lamna	Lamna_nasus	Lamnidae	Lamniformes	m	ad	pelagic	3	pelagic	3	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (fish 74.7 %, n=115); Joyce et al. 2002 (fish 90 %W, n=1022)"	
ERB 0930	Lamna	Lamna_nasus	Lamnidae	Lamniformes	m	ad	pelagic	3	pelagic	3	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 74.7 %, n=115)	
ZMA116165	Lamna	Lamna_nasus	Lamnidae	Lamniformes	m	ad	pelagic	3	pelagic	3	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 74.7 %, n=115)	
LACMNH 47362-1	Mitsukurina	Mitsukurina_owstoni	Mitsukurinidae	Lamniformes	NA	NA	bathydemersal	4	demersal	2	fish	1	fish_&_cephalopoda	1	Yano et al. 2007 (fish 60.61 %IRI, n=110)	
ZMA120789	Mustelus	Mustelus_asterias	Triakidae	Carcharhiniformes	m	ad	demersal	2	demersal	2	decapoda	4	decapoda_&_mollusca	3	Cortes 1999 (crustaceans 72.2%, n=72)	
no id DFL	Mustelus	Mustelus_henlei	Triakidae	Carcharhiniformes	NA	NA	demersal	2	demersal	2	generalist	3	generalist	5	"Cortes 1999 (crustaceans 69,6%, n=138); Espinoza et al. 2012 (fish juv 25 %IRI, n=134, adult 51,5%IRI, n=148; cephalopods juv 21 %IRI, adult 38 %IRI; decapoda 11,5 %IRI)"	yes
23320	Mustelus	Mustelus_higmani	Triakidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	decapoda	4	decapoda_&_mollusca	3	Cortes 1999 (crustaceans 89%, n=74)	
37212	Mustelus	Mustelus_mustelus	Triakidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	decapoda	4	decapoda_&_mollusca	3	"Cortes 1999 (crustaceans 54.7%, cephalopods 31.6%, n=452); Filiz 2009 (crustaceans >68 %IRI, n=72); Saidi et al. 2009 (crustaceans 51,36 %IRI, fish 44,51 %IRI, n=477)"	
verznr.2	Mustelus	Mustelus_mustelus	Triakidae	Carcharhiniformes	f	ad	demersal	2	demersal	2	decapoda	4	decapoda_&_mollusca	3	"Cortes 1999 (crustaceans 54.7%, cephalopods 31.6%, n=452); Filiz 2009 (crustaceans >68 %IRI, n=72); Saidi et al. 2009 (crustaceans 51,36 %IRI, fish 44,51 %IRI, n=477)"	
ZMA109497	Mustelus	Mustelus_mustelus	Triakidae	Carcharhiniformes	f	NA	demersal	2	demersal	2	decapoda	4	decapoda_&_mollusca	3	"Cortes 1999 (crustaceans 54.7%, cephalopods 31.6%, n=452); Filiz 2009 (crustaceans >68 %IRI, n=72); Saidi et al. 2009 (crustaceans 51,36 %IRI, fish 44,51 %IRI, n=477)"	
ZMA114675	Nebrius	Nebrius_ferrugineus	Ginglymostomatidae	Orectolobiformes	f	juv	reef	1	reef	1	cephalopoda	5	fish_&_cephalopoda	1	Cortes 1999 (cephalopods 60%, fish 30%, n=6)	
