state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
8340000	0.000	510.304	0.000	1	0	0.000	0.003	0.013	116.69	-40.99	-0.00	0.54
8350000	0.000	303.385	0.000	1	0	0.000	0.005	-0.010	117.36	-40.95	-0.00	0.00
8360000	0.000	0.188	0.000	1	0	0.000	0.004	-0.023	118.86	-40.75	-0.00	0.20
8370000	0.000	10.942	0.000	1	0	0.000	0.003	-0.050	118.44	-40.75	0.00	-6.19
8380000	0.000	0.638	0.000	2	0	0.000	0.002	-0.009	118.42	-41.80	-0.00	-0.69
8390000	0.000	0.005	0.000	2	0	0.000	0.000	-0.002	122.14	-41.80	0.00	-6.37
8400000	0.000	0.002	0.000	1	0	0.000	0.002	-0.043	123.25	-40.75	-0.00	-0.69
8410000	0.000	0.001	0.000	1	0	0.000	0.004	0.063	120.77	-40.75	0.00	0.69
8420000	0.000	0.013	0.000	1	0	0.000	0.003	-0.065	121.38	-40.75	-0.00	-0.69
8430000	0.000	35.576	0.000	1	0	0.000	0.010	-0.035	116.20	-40.79	0.00	-6.09
8440000	0.000	28.170	0.000	1	0	0.000	0.003	-0.051	118.22	-40.78	-0.00	0.00
8450000	0.000	0.096	0.000	1	0	0.000	0.005	-0.034	121.05	-40.75	-0.00	0.00
8460000	0.000	0.002	0.000	1	0	0.000	0.004	-0.071	119.38	-40.75	0.00	-6.06
8470000	0.000	0.686	0.000	1	0	0.000	0.001	-0.052	119.87	-40.75	0.00	0.00
8480000	0.000	722.806	0.000	1	0	0.000	0.005	-0.012	116.60	-41.01	0.00	-6.18
8490000	0.000	68.008	0.000	1	0	0.000	0.003	-0.007	118.21	-40.83	0.00	-6.18
8500000	0.000	3432.261	0.000	1	0	0.000	0.003	-0.028	116.28	-41.14	-0.79	-0.69
8510000	0.000	27.135	0.000	2	0	0.000	0.002	0.042	115.45	-41.84	0.00	-6.72
8520000	0.000	5.467	0.000	1	0	0.000	0.001	0.033	119.52	-40.75	0.00	-6.24
8530000	0.000	7.468	0.000	1	0	0.000	0.003	0.022	119.20	-40.75	0.00	-6.42
8540000	0.000	31.996	0.000	1	0	0.000	0.002	-0.040	118.54	-40.78	0.00	0.00
8550000	0.000	1.249	0.000	1	0	0.000	0.009	0.035	118.05	-40.75	0.00	0.00
8560000	0.000	73.275	0.000	2	0	0.000	0.003	-0.049	117.08	-41.90	0.00	-6.34
8570000	0.000	17.539	0.000	1	0	0.000	0.002	-0.062	118.22	-40.76	0.00	0.00
8580000	0.000	2047.397	0.000	1	0	0.000	0.002	-0.003	116.77	-41.10	0.00	0.00
8590000	0.000	515.399	0.000	1	0	0.000	0.004	-0.053	115.82	-40.99	0.00	-6.09
8600000	0.000	29.142	0.000	1	0	0.000	0.001	-0.036	116.36	-40.78	0.00	0.00
8610000	0.000	426.975	0.000	1	0	0.000	0.001	0.027	117.46	-40.97	0.03	0.00
8620000	0.000	9.083	0.000	1	0	0.000	0.005	-0.077	116.94	-40.75	-0.01	-0.69
8630000	0.000	4.167	0.000	1	0	0.000	0.004	0.007	119.73	-40.75	-0.01	0.00
8640000	0.000	1.987	0.000	1	0	0.000	0.000	-0.000	120.68	-40.75	-0.00	0.51
8650000	0.000	1.444	0.000	1	0	0.000	0.004	-0.018	120.09	-40.75	0.00	-6.24
8660000	0.000	3.851	0.000	2	0	0.000	0.007	0.025	117.64	-41.81	-0.00	-0.69
8670000	0.000	4.278	0.000	2	0	0.000	0.005	0.018	116.08	-41.81	-0.00	0.00
8680000	0.000	0.136	0.000	2	0	0.000	0.002	-0.023	118.90	-41.80	-0.00	-0.69
8690000	0.000	0.175	0.000	2	0	0.000	0.004	-0.006	118.80	-41.80	0.00	-6.38
8700000	0.000	0.092	0.000	2	0	0.000	0.001	-0.038	120.23	-41.80	0.00	-6.43
8710000	0.000	0.592	0.000	2	0	0.000	0.007	0.064	116.75	-41.80	0.00	-0.37
